Company,Confidence,Primary Category,Subcategory,Reasoning,Source
r2c,0-1,Adjacent Software and Technology Companies,Security and Compliance Tools,I don’t have enough reliable context about which “r2c” you mean (there are multiple entities with that name/abbreviation  including security-focused startups)  and the taxonomy classification depends on their primary revenue model and product. If this is the r2c that sells tools to detect/prevent vulnerabilities or supply-chain risk for open source dependencies  it fits best as an Adjacent “Security and Compliance Tools” company rather than a Core COSS vendor. Please share a URL or a one-line description of r2c’s product to classify accurately.,OSS Capital
Rabbit Technologies,42%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information does not clearly indicate that Rabbit Technologies’ primary business model is developing/monetizing a specific open-source product (Core COSS) or operating as a managed OSS cloud provider. The name most commonly maps to “Rabbit” as a messaging/queueing layer concept in software stacks (e.g.  AMQP/RabbitMQ)  which fits best as adjacent integration/middleware rather than a core OSS vendor  but the company-specific evidence is insufficient  hence the low confidence.,Serena
Rackspace,76%,Core COSS Companies,Open Source Service & Consulting Specialists,Rackspace’s primary business has historically been managed hosting and managed services  including operating and supporting customer deployments built on widely used open source stacks (e.g.  Linux  OpenStack  Kubernetes) rather than monetizing a proprietary open-core product it controls. This aligns best with revenue derived from consulting/integration/operations around OSS and cloud infrastructure  making it a service and consulting specialist within the COSS ecosystem.,Serena
Radiant Earth Foundation,86%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,Radiant Earth Foundation is a nonprofit entity focused on enabling and stewarding open geospatial data and tools for social/environmental impact rather than monetizing an OSS product or selling software. Its role aligns most closely with a foundation-style facilitator that supports ecosystem coordination  data/tool accessibility  and community collaboration.,Serena
RadiaSoft,74%,Core COSS Companies,Open Source Service & Consulting Specialists,RadiaSoft is best known for building and supporting scientific/engineering software platforms (notably around open-source HPC/simulation tooling) and generating revenue primarily through services such as consulting  integration  and support rather than selling a proprietary add-on product. This aligns with firms whose business model centers on delivering expertise and implementation around open source software rather than operating a managed cloud service or monetizing proprietary extensions of an OSS core.,Serena
Raftt,60%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Raftt appears to be a developer tool focused on improving collaboration and workflows around cloud/Kubernetes environments rather than monetizing a specific open source project it controls. That places it adjacent to the COSS ecosystem as enabling infrastructure/workflow integration for teams using OSS stacks  rather than a Core COSS company selling or hosting an OSS product directly.,OSS Capital
Raito,62%,Adjacent Software and Technology Companies,Security and Compliance Tools,Raito is best characterized as a data access governance/security product that helps organizations manage permissions and compliance across data systems rather than monetizing an open-source project as its primary business. That aligns more with “watching/protecting” and compliance tooling in the OSS ecosystem than with Core COSS product monetization or managed hosting of an OSS technology.,Serena
Ramatak,35%,Adjacent Software and Technology Companies,Security and Compliance Tools,Publicly available information about “Ramatak” is insufficient/ambiguous to verify it as a Core COSS company (owning/monetizing an OSS product) or as an infrastructure provider. Given the name’s association in some contexts with security-oriented offerings  the closest fit in the taxonomy is an adjacent security/compliance tooling company  but this classification is low-confidence pending confirmation of what the company actually sells and whether it is open source.,OSS Capital
Rapid Silicon,60%,Core COSS Companies,Open Source Service & Consulting Specialists,Rapid Silicon is primarily known for providing open-source–oriented EDA/FPGA enablement and related engineering/services (e.g.  open-source toolchains/IP support)  rather than operating a general-purpose cloud/infrastructure platform or a foundation. This aligns best with a services/consulting-led monetization model around adopting and integrating open-source software in the silicon/EDA ecosystem  though publicly available detail on the exact revenue mix is limited.,Both
Rapid7,86%,Adjacent Software and Technology Companies,Security and Compliance Tools,Rapid7 primarily monetizes proprietary cybersecurity products and services (e.g.  vulnerability management  detection/response  exposure management) rather than selling or hosting an open source product as its core business model. While it has participated in and released some open-source tools historically (e.g.  Metasploit origins)  its main revenue is from commercial security tooling that supports/protects systems (including OSS) rather than directly monetizing OSS distribution or open-core control.,Serena
Rasa,82%,Core COSS Companies,Open-Core Product Companies,Rasa develops and maintains an open source core (Rasa Open Source) for conversational AI  and monetizes the product primarily through proprietary/enterprise offerings and paid support around that core. This aligns with an open-core model where the company controls the core project’s direction/IP and sells commercial extensions and enterprise-grade capabilities rather than merely packaging or hosting third-party OSS.,OSS Capital
Raspberry Pi,74%,Ecosystem Infrastructure Providers (Catalysts),Specialized Infrastructure Providers,Raspberry Pi’s primary business is selling low-cost computing hardware and related platforms that enable developers and educators to run and experiment with open source software  rather than monetizing a specific open source software product. While it supports and benefits from OSS ecosystems (Linux distributions  toolchains  and open hardware-adjacent communities)  its core monetization is hardware-centric infrastructure that catalyzes OSS adoption.,OSS Capital
Reaction Commerce,72%,Core COSS Companies,Open-Core Product Companies,Reaction Commerce developed and maintained the open-source Reaction Commerce platform (an OSS core for ecommerce) and offered monetization via hosted/enterprise offerings and proprietary add-ons/services around that core. This aligns best with an Open-Core Product Company because the company’s primary business centered on an OSS product it originated and controlled  with commercial value captured through paid extensions/offerings rather than only third-party packaging or generic consulting.,Serena
Read the Docs,74%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Read the Docs provides essential documentation hosting/build tooling used broadly across open source projects  enabling adoption and usage without being defined by a single OSS product. Its value proposition is a platform/tooling layer (documentation build  hosting  integrations) rather than monetizing an open-core software product itself. While it runs an open source codebase  the business function aligns most closely with developer tooling infrastructure for OSS ecosystems.,Serena
ReadySet,78%,Core COSS Companies,Open-Core Product Companies,ReadySet develops and commercializes a database caching/acceleration product built around an open-source core that the company originates and controls  with monetization typically coming from paid proprietary features and/or enterprise offerings. This aligns with the open-core model where the business is primarily centered on the OSS product itself rather than packaging third-party OSS or providing generic infrastructure tooling.,OSS Capital
RecipeUI,34%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information about RecipeUI’s business model and its relationship to open source (whether it develops/controls an OSS core  provides managed OSS  or sells services around OSS) is insufficient to confidently place it in a Core COSS category. Based on the name  it most plausibly appears to be an application-layer UI/product that could sit adjacent to OSS stacks and integrate with other systems rather than being a foundational OSS distribution or governance entity. If RecipeUI actually maintains an open-source core with paid proprietary features  it would instead fit “Core COSS Companies → Open-Core Product Companies.”,Serena
Recurve,43%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Recurve is primarily known as an energy/utility analytics platform focused on measuring and verifying demand flexibility and efficiency programs  rather than developing or monetizing an open source software product. That places it adjacent to the OSS ecosystem as a software/technology company that integrates with broader enterprise data and operational systems  not a Core COSS company or OSS infrastructure provider. Confidence is moderate because “Recurve” can also refer to other entities  and the classification depends on which Recurve is intended.,OSS Capital
Red Hat,95%,Core COSS Companies,Open Source Distribution Companies,Red Hat’s primary business model is packaging  certifying  and providing enterprise support/subscriptions for open source software projects (notably Red Hat Enterprise Linux and related platform components) that are largely developed in upstream communities. This aligns with the definition of an Open Source Distribution Company that monetizes OSS via distribution  support  and lifecycle management rather than proprietary open-core extensions as the main revenue driver.,Serena
Redborder,62%,Core COSS Companies,Open-Core Product Companies,Redborder is primarily known for developing and selling a network analytics/cybersecurity platform built around an open-source core with commercial/enterprise offerings layered on top  aligning with an open-core monetization approach. Its business is centered on the product (software platform) rather than being a general infrastructure/tooling provider or a pure consulting-only firm. Public details on the exact licensing boundary between the OSS core and proprietary extensions are limited  so confidence is moderate.,Serena
Redis Labs,88%,Core COSS Companies,Open-Core Product Companies,Redis Labs (now operating as Redis) commercializes the Redis database by controlling and developing key modules and enterprise features  monetizing through paid subscriptions and enterprise offerings around an open-source core. While it also offers managed/hosted Redis services  its primary business is centered on owning and monetizing the Redis product stack rather than packaging third-party OSS or providing generic infrastructure.,Serena
Redpanda Data,86%,Core COSS Companies,Open-Core Product Companies,Redpanda develops and commercializes the Redpanda streaming data platform  with an open-source core and a commercial offering (including enterprise features and a hosted/cloud product) that it controls. Its primary revenue is tied to monetizing its own software via subscriptions/enterprise features and managed service  which aligns best with an open-core product company rather than a third-party OSS distributor or pure managed provider of external OSS.,Both
Refine,52%,Core COSS Companies,Open-Core Product Companies,Refine appears to be a product company centered on an open-source core (“Refine” is commonly associated with an OSS React-based framework) with commercialization typically occurring via proprietary add-ons  enterprise features  or paid support. This aligns best with an Open-Core Product Company rather than an infrastructure/tooling provider or services-only consultancy  though confidence is moderate due to ambiguity around which “Refine” entity is intended and its exact revenue model.,Serena
Reflex,62%,Core COSS Companies,Open-Core Product Companies,Reflex is best known for developing the Reflex open-source Python framework and monetizing it through commercial offerings (e.g.  hosted/cloud and/or enterprise capabilities) around that core. Because the company appears to be centered on building and commercializing an OSS product it controls rather than primarily consulting or distributing third-party OSS  it aligns most closely with an Open-Core Product Company.,Both
REGA,34%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“REGA” is ambiguous and maps most commonly to “REGA” as an organization name used by multiple entities (e.g.  healthcare/virology institutes  brands  or regional companies) rather than a clearly identifiable open-source software business. With no evidence provided that REGA’s primary business is developing/monetizing OSS  providing OSS infrastructure  or acting as a foundation/investor  the closest fit—if REGA is a software vendor at all—is an adjacent technology provider category. If you can share REGA’s website or what “REGA” stands for (industry/country/product)  I can classify it with high confidence.,Serena
REI Systems,66%,Core COSS Companies,Open Source Service & Consulting Specialists,REI Systems primarily operates as a services firm delivering systems integration  custom software development  and IT consulting (not a company monetizing a single OSS product it controls). While it may use and contribute to open source components in delivery  its revenue model aligns most closely with consulting and implementation services around software solutions rather than selling or hosting an open source product.,Serena
Reibase,42%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Reibase appears to be a software company adjacent to the OSS ecosystem rather than a core open-source vendor—focused on enabling integration/operational workflows around software systems instead of monetizing an open-source core or distributing OSS. With limited public detail in the prompt about an owned open-source product  the best fit is an adjacent integration/middleware provider  but confidence is moderate due to sparse information.,Serena
Relevance,46%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Relevance is primarily a B2B SaaS platform focused on automating and operationalizing customer interactions (e.g.  bringing together data sources  workflows  and actions)  which fits better as an adjacent software layer rather than a company monetizing an open-source product. There is no clear indication that its core business model is developing/distributing/monetizing an OSS project  nor that it primarily provides essential OSS infrastructure or a managed OSS service.,Serena
Remix,72%,Core COSS Companies,Open-Core Product Companies,Remix is best known as the creator/maintainer of the open source Remix web framework  with commercialization centered around products and services built around that core (e.g.  official hosting/paid offerings tied to the project’s stewardship). This aligns most closely with a Core COSS company that controls the OSS project and monetizes around it rather than merely packaging third-party OSS.,OSS Capital
Replicate,67%,Core COSS Companies,Managed Open Source (Cloud) Providers,Replicate primarily monetizes a hosted platform/API for running and deploying machine learning models rather than selling a single proprietary software product. It provides managed infrastructure that makes it easy to use models (often originating from the open-source ecosystem) via hosted inference and deployment  fitting the “Managed Open Source (Cloud) Providers” pattern more than an open-core product company.,Both
Replicated,74%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Replicated’s primary business is providing tooling and infrastructure to help software vendors package  distribute  install  and manage applications (often Kubernetes-based) in customer-controlled or hybrid environments  rather than monetizing a single open-source product itself. This aligns with enabling OSS and cloud-native adoption via deployment/operations tooling  fitting the “platform/tooling essential to OSS adoption” definition.,OSS Capital
Replit,72%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Replit primarily monetizes a cloud-based developer platform/IDE (and related hosting/runtime features) rather than an open source product whose core it develops and sells. It enables building  running  and collaborating on code across many languages and frameworks (often open source)  functioning as tooling that facilitates OSS adoption rather than distributing/supporting a specific OSS project. While it may use and contribute to OSS  its business model centers on developer tooling and platform services.,OSS Capital
ReportLab,74%,Core COSS Companies,Open-Core Product Companies,ReportLab is best known for the ReportLab Toolkit  which includes an open source/community edition used to generate PDFs (and related document formats)  alongside commercially licensed offerings and support. This fits an open-core pattern where an OSS core is monetized via proprietary licensing/features and commercial services tied to software the company controls.,Serena
Rerun,72%,Core COSS Companies,Open-Core Product Companies,Rerun develops and commercializes a developer tool/platform for multimodal/robotics data visualization  with an open-source core project that it stewards while offering proprietary/commercial capabilities around it. This aligns best with an open-core model where the company controls the OSS core and monetizes via paid product offerings rather than primarily packaging third-party OSS or offering generic infrastructure.,Serena
ResearchHub,52%,Market and Data Analytics Providers,Market Research and Advisory Firms,ResearchHub is best classified as a research/insights provider rather than a company monetizing a specific open source software product  running managed OSS infrastructure  or providing developer tooling. The name and typical positioning imply its core value is analysis  benchmarking  and knowledge outputs that support decision-making in the OSS ecosystem. Confidence is moderate because “ResearchHub” could also refer to a software platform depending on the specific organization.,OSS Capital
Resend,74%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Resend primarily sells a developer-focused email API/service (transactional email infrastructure) rather than monetizing an open-source product as its core business model. While it may provide SDKs or tooling that integrate with open-source stacks  its revenue is driven by delivering the hosted email sending platform  which fits best as middleware/integration technology adjacent to OSS rather than a Core COSS company.,OSS Capital
RespiraWorks,62%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,RespiraWorks is a nonprofit initiative focused on designing and openly publishing ventilator hardware/software designs for community use rather than monetizing an open source software product or providing managed OSS services. Its role is primarily stewardship  coordination  and enabling collaboration around an open project  which aligns best with a foundation/governance-style facilitator in the ecosystem.,Serena
Restate,55%,Core COSS Companies,Open-Core Product Companies,Restate is best known for its open-source “event-sourcing / durable execution” framework and monetizes around that core via commercial offerings  which aligns with a Core COSS company. Because the business centers on a product they develop and control  and commercialization typically comes via paid features/hosted options around the OSS core  it fits the open-core product pattern.,OSS Capital
RethinkDB,74%,Core COSS Companies,Open-Core Product Companies,RethinkDB is best known as the company/project behind the RethinkDB open source database  meaning the primary “product” is an OSS core that the entity originated and controlled. While the company later ceased operating and the project continued under community stewardship  its historical positioning fits a Core COSS product-led model more than a services  distribution  or managed-hosting provider.,Serena
Revert.dev,62%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Revert.dev appears to provide developer tooling focused on helping teams manage or “revert” changes in their software delivery workflow  which aligns with platforms/tools essential to OSS adoption rather than monetizing a specific open source product. There’s no clear indication that their primary business is selling an open-source core with proprietary add-ons or offering managed hosting for a specific OSS technology  so the best fit is developer/CI/CD tooling within ecosystem infrastructure.,OSS Capital
Reviewable,0-1,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Reviewable is a code review/collaboration tool that integrates with repositories (not an open-source product company monetizing an OSS core). Its value is primarily developer workflow enablement—improving review processes and collaboration around code—so it fits the “development & CI/CD tooling” catalyst role rather than Core COSS.,Serena
Revolution Analytics,72%,Core COSS Companies,Open Source Service & Consulting Specialists,Revolution Analytics primarily monetized open source (notably the R ecosystem) through enterprise support  consulting  and training services rather than through a proprietary open-core product. While it contributed to and helped package/distribute R for enterprise use  its business model centered on services around an externally originated open source project  aligning best with an OSS service and consulting specialist.,Serena
ReworkdAI,48%,Adjacent Software and Technology Companies,Integration & Middleware Providers,ReworkdAI appears to provide an AI automation/agent layer that helps users build workflows and integrate tools rather than monetizing an open-source project as its primary product. Based on available public positioning  it is not clearly an open-core company or a managed open-source (cloud) provider  and it fits best as an adjacent software layer that connects systems and orchestrates work. Confidence is moderate because the company’s open-source ownership/monetization model is not clearly established from the name alone.,OSS Capital
RhodeCode,78%,Core COSS Companies,Open-Core Product Companies,RhodeCode develops and commercializes a source-code management platform built around an open source core  with revenue typically tied to paid enterprise features  subscriptions  and support. This fits the open-core model where the company controls the product direction and monetizes proprietary extensions on top of an OSS base.,Serena
Ridge,26%,Adjacent Software and Technology Companies,Security and Compliance Tools,“Ridge” is too ambiguous (multiple companies/entities use this name)  so a definitive COSS taxonomy classification can’t be made from the name alone. If you mean Ridge as a software vendor offering security/compliance capabilities around software systems (common among “Ridge”-named tech firms)  it would fit best as an Adjacent company rather than a Core COSS company. Please share the company URL or a one-line description (what it sells) to classify it accurately.,OSS Capital
Rierino,34%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information about Rierino is insufficient to confirm a primary business model centered on developing/monetizing a specific open source product (Core COSS)  providing OSS-focused infrastructure/tooling (Catalyst)  or acting as a funder/community body. Given the name and typical positioning of similarly described firms  the best-fit placeholder classification is an adjacent technology provider (likely integration/middleware)  but this is a low-confidence inference pending confirmation of what Rierino actually sells and whether it is OSS-based.,Serena
RISC Zero,62%,Core COSS Companies,Open-Core Product Companies,RISC Zero develops and commercializes a zero-knowledge virtual machine/verification stack with an open-source core  positioning the business around shipping and monetizing the software itself rather than generic infrastructure or consulting. Their go-to-market typically centers on a controlled core technology with potential proprietary/commercial offerings (e.g.  enterprise features  hosted services  or commercial licensing)  which fits the open-core product pattern more than distribution or pure services.,OSS Capital
Rishabh Software,74%,Core COSS Companies,Open Source Service & Consulting Specialists,Rishabh Software is primarily an IT services and engineering firm that delivers custom development  integration  and consulting  often leveraging open source technologies rather than monetizing a proprietary open-source product it controls. Its revenue model aligns most closely with services/consulting around software implementation and delivery  not OSS distribution  managed hosting of a specific OSS product  or selling proprietary extensions to an OSS core.,Serena
Rivos,60%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Rivos is primarily a semiconductor/IP company building RISC-V CPU designs and related hardware technology rather than a business centered on developing and monetizing an open source software product. It participates in an open ecosystem (RISC-V) but is not best described as a Core COSS company  foundation  investor  or market research provider; its role is adjacent infrastructure/technology that enables OSS adoption indirectly through hardware and platform compatibility.,OSS Capital
ROBAUTO,32%,Enterprise Adopters and Contributors,Industry-Specific Technology Companies,Publicly available information is insufficient to confirm that ROBAUTO’s primary business is developing/monetizing an open source software product or providing OSS infrastructure/tooling as a commercial offering. Given the name and likely focus on robotics/automation  it most plausibly fits as an industry-specific technology company that may use (and possibly contribute to) open source as part of its products rather than selling OSS directly. If ROBAUTO actually sells an OSS-based product (open-core) or a managed OSS service  the classification would shift accordingly.,Serena
Robin,10%,Insufficient Information,Unknown,“Robin” is ambiguous and could refer to multiple entities (e.g.  Robinhood  Robin AI  various OSS projects/companies)  each of which would map to different taxonomy categories. Without a clear identifier (website  product description  or what “Robin” does)  I can’t reliably apply the revenue/ownership tests required to classify it in the COSS ecosystem.,OSS Capital
Robocorp,66%,Core COSS Companies,Open-Core Product Companies,Robocorp develops and sells an RPA/automation platform built around an open-source core (notably its Python-based RPA framework) and monetizes the offering through commercial products/services aimed at enterprises. This aligns best with an open-core product company because the business centers on software they develop and control  with paid capabilities and enterprise-grade features layered on top of the OSS foundation.,Both
robusta.dev,72%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,Robusta.dev provides tooling focused on Kubernetes/Prometheus alerting  automation  and operational workflows  which supports and improves the use of open source infrastructure rather than monetizing a single controlled open source product as the core business. This fits the “monitoring and observability” adjacent category because it helps users observe/triage incidents and operate OSS stacks  without being an OSS distribution or managed hosting provider.,Serena
Rochen,30%,Adjacent Software and Technology Companies,Security and Compliance Tools,“Rochen” is not uniquely identifiable from the provided information (there are multiple entities/uses of the name)  so a definitive COSS taxonomy classification cannot be made with high confidence. Based on the most common association of the name in technology contexts (security/IT services branding)  the closest fit within the taxonomy is an adjacent security/compliance vendor rather than a core COSS company. If you share Rochen’s website or a one-line description of its product/revenue model  I can reclassify accurately.,Serena
Rocicorp,56%,Core COSS Companies,Open-Core Product Companies,Rocicorp is best classified as a Core COSS company because it appears to be primarily oriented around building and monetizing a software product rather than providing general infrastructure  governance  or investment. The most fitting subcategory is Open-Core Product Company  assuming Rocicorp controls an open-source core and monetizes via proprietary features or commercial offerings around that core; confidence is moderate due to limited public detail provided in the prompt.,OSS Capital
Rocket Chat,82%,Core COSS Companies,Open-Core Product Companies,Rocket.Chat develops and commercializes an open-source team communication platform  with monetization typically coming from enterprise offerings such as proprietary features  support  and deployments. Because it is centered on an OSS core that the company stewards and sells commercial add-ons/services around  it fits the Open-Core Product Company model rather than a distribution or pure services firm.,Both
Rockset,72%,Core COSS Companies,Managed Open Source (Cloud) Providers,Rockset’s primary monetization is as a hosted  managed cloud service for search/analytics workloads rather than as a governance or tooling layer for the broader OSS ecosystem. While it integrates with and supports common open-source data technologies  its business model is centered on operating the service (managed offering) rather than packaging third-party OSS distributions or selling consulting services.,OSS Capital
ROLUSTECH,66%,Core COSS Companies,Open Source Service & Consulting Specialists,Rolustech is primarily positioned as a services/consulting and implementation firm (not a vendor monetizing a specific open-source product it controls  nor a hosted managed-OSS platform). This aligns best with organizations that generate revenue from consulting  customization  integration  and support around open-source technologies rather than distributing a controlled open-core product.,Serena
Rome Tools,56%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Rome Tools appears to be a tools-focused software vendor rather than an organization whose primary business is developing and monetizing an open-source product or providing foundational cloud/CI infrastructure. In the absence of clear evidence that it controls a specific open-source core or monetizes OSS directly  it best fits as an adjacent tooling company supporting software workflows (most consistent with integration/middleware-style tooling).,Both
Rowy,0-1,Core COSS Companies,Open-Core Product Companies,Rowy is positioned as an open-source low-code/backend platform (often used with Firebase/Firestore) with a company-led product and commercialization path  which fits a Core COSS company that builds and monetizes an OSS-centered product. It is not primarily a cloud infrastructure provider  foundation  investor  or adjacent monitoring/security vendor. The confidence is low because public information about Rowy’s current revenue model (e.g.  proprietary add-ons vs. services vs. hosted offering) is not fully clear from the provided context.,OSS Capital
rSmart,66%,Core COSS Companies,Open Source Service & Consulting Specialists,rSmart is best known for providing implementation  integration  and support services around open-source enterprise platforms (notably Sakai and related collaboration/portal solutions)  with revenue driven primarily by services rather than proprietary software licensing. This aligns with a services-and-consulting-led model supporting OSS adoption rather than operating a standalone open-core product or a general infrastructure platform.,Serena
Ruby on Rails,45%,Core COSS Companies,Open Source Service & Consulting Specialists,Ruby on Rails is primarily an open source software project (a web framework) rather than a single commercial company with a clear revenue model tied to selling  hosting  or packaging the software. Within this taxonomy  the closest fit is the service/consulting specialist bucket because Rails is typically monetized indirectly through ecosystem services (implementation  support  training) by third parties rather than through an IP-controlling vendor offering proprietary extensions or managed hosting. Confidence is moderate-low because Rails is better described as a community-led OSS project than a company.,Serena
RudderStack,78%,Core COSS Companies,Open-Core Product Companies,RudderStack develops and monetizes a customer data pipeline/CDP product built around an open-source core project that it controls  with commercial offerings (e.g.  managed cloud and/or enterprise features) sold to customers. Its primary business is selling and supporting that software/service rather than being general infrastructure or a neutral ecosystem facilitator.,OSS Capital
Rumble,55%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Rumble is primarily a video hosting and streaming platform  monetizing via ads  subscriptions  and creator tools rather than developing and selling an open source software product. It provides a proprietary platform/service layer that can integrate with and run on top of open-source infrastructure  but it is not defined by packaging  governing  or monetizing OSS itself. The fit to the COSS taxonomy is indirect  so classification is moderate-confidence.,OSS Capital
Rundeck,64%,Core COSS Companies,Open-Core Product Companies,Rundeck is best known for the Rundeck automation/orchestration software  originally developed as an open source core with a commercial company offering enterprise features and support around it. That fits the open-core pattern where monetization comes from proprietary extensions and enterprise packaging rather than purely consulting or hosting third-party OSS. The classification is moderately confident because Rundeck has changed ownership over time  which can shift how the product is packaged and monetized.,Serena
Runway,55%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Runway is primarily a proprietary AI video/content creation platform (SaaS) rather than a company whose business model centers on developing  distributing  or monetizing an open-source software product. It is not a cloud/CI infrastructure provider for OSS  nor a managed service hosting an external open-source project; instead it provides adjacent tooling used alongside broader software stacks. Confidence is moderate because “Runway” may be conflated with other entities (e.g.  RunwayML vs. an OSS tool named Runway)  but the best-known Runway fits the adjacent proprietary tooling category.,OSS Capital
RunX,32%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,Publicly available context on “RunX” is insufficient/ambiguous  so a definitive COSS taxonomy placement can’t be made with high confidence. Based on the name alone  it most plausibly maps to an adjacent tooling vendor (e.g.  performance/operations-focused software) rather than a core open-source monetization model  foundation  or investor. If RunX actually develops/controls an OSS core or offers a hosted OSS service  the correct category would likely shift to Core COSS (open-core or managed OSS provider).,OSS Capital
S Technologies,30%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“S Technologies” is too ambiguous (many firms use this name)  and there isn’t enough information to confirm it primarily develops/monetizes an open-source product  runs managed OSS services  or operates OSS infrastructure/tooling. In absence of verifiable evidence of a Core COSS business model or foundation/investor role  the most defensible placement is an adjacent technology/services company that likely supports customers via integration/implementation work around existing software.,Serena
Saaras,44%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Saaras appears to be a software company offering a product/platform that helps organizations operationalize or integrate data/software systems rather than a company primarily monetizing an open-source project it controls. There is insufficient evidence that its core revenue is tied to distributing  supporting  or hosting a specific open-source technology  so it fits best as an adjacent provider that enables OSS adoption indirectly.,Serena
Sakai,62%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,Sakai is best known as a community-governed open-source learning management system (Sakai LMS) maintained by a membership-based consortium (Apereo Foundation/Sakai community)  where the primary function is stewardship  coordination  and ecosystem collaboration rather than selling proprietary software. While service providers may commercialize support around Sakai  the central “Sakai” entity is primarily the governance/community vehicle for the project rather than a product vendor.,Serena
Saleor Commerce,74%,Core COSS Companies,Open-Core Product Companies,Saleor develops and commercializes the Saleor open-source commerce platform  with monetization primarily tied to proprietary/commercial offerings (e.g.  cloud/enterprise features and support) around an OSS core they control. This fits the open-core model where the company’s main business is directly built on producing and monetizing its own open-source software.,Both
Salto,72%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Salto is primarily a SaaS platform focused on managing and automating configuration changes across business applications (e.g.  Salesforce  NetSuite) rather than monetizing or distributing an open source product as its core business. Its value is in enabling interoperability  change management  and operational workflows across systems  which aligns best with integration/middleware tooling adjacent to (but not defined by) an OSS product.,OSS Capital
Sanity,72%,Core COSS Companies,Open-Core Product Companies,Sanity is best known for its headless/structured content platform (Sanity Studio and related tooling) and monetizes primarily through a commercial SaaS offering while providing an open-source core (notably the Studio) that it controls. This aligns with an open-core model where the company develops and stewards the core product and generates revenue from proprietary/hosted features and services around it.,OSS Capital
Sarsys,48%,Adjacent Software and Technology Companies,Security and Compliance Tools,Sarsys appears to be a security-focused technology vendor rather than a company primarily monetizing an open source software product or distributing/hosting a specific OSS technology. Based on the limited available context  the closest fit in the taxonomy is an adjacent provider offering security/compliance capabilities that support organizations using OSS  but the classification is uncertain without clearer evidence of its primary revenue model and product scope.,Serena
Scalytics,64%,Core COSS Companies,Open-Core Product Companies,Scalytics is best characterized as a company commercializing a data/analytics software product  with monetization typically coming from proprietary enterprise features and support around a core technology rather than purely consulting or neutral ecosystem tooling. This fits the open-core pattern more closely than managed OSS hosting or infrastructure provision  though public evidence of a clearly governed open-source “core” is limited  lowering confidence.,Serena
SCANOSS,78%,Adjacent Software and Technology Companies,Security and Compliance Tools,SCANOSS provides tooling to identify and inventory open source components in codebases (SBOM generation  license/compliance identification)  which supports safe OSS adoption rather than monetizing a specific open source product as the core business. This aligns best with security/compliance-oriented OSS tooling providers (similar to SCA/SBOM vendors) rather than core COSS companies focused on distributing or hosting an OSS product.,Serena
Scarf,76%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Scarf provides tooling used by open source maintainers to understand and manage distribution/usage of their OSS projects (e.g.  download analytics  adoption insights)  which supports OSS adoption without being defined by a single OSS product they monetize. This aligns best with ecosystem infrastructure/tooling rather than a Core COSS company selling an open-source product or a managed OSS cloud service.,OSS Capital
Schweitzer Engineering Laboratories,72%,Enterprise Adopters and Contributors,Industry-Specific Technology Companies,Schweitzer Engineering Laboratories (SEL) primarily generates revenue from power-system protection  automation  and related hardware/engineering solutions rather than monetizing an open source software product or distribution. While SEL may use or contribute to open source in products and internal engineering  open source software is not its core business model under the COSS definitions  making it best fit as an industry-specific technology company that adopts (and potentially contributes to) OSS.,Serena
Scramjet,64%,Core COSS Companies,Open-Core Product Companies,Scramjet is primarily a software company built around its own open-source data/stream processing technology (“Scramjet”)  with a commercial offering positioned for production use. That aligns best with an Open-Core Product Company: monetizing enterprise/hosted features around an OSS core they control  rather than primarily consulting  packaging third-party OSS  or providing general-purpose infrastructure.,Serena
